slug,name,short_description,long_description,reviews,location_tag,address,days_open,best_visit_days,featured,featured_day,venue_type,lat,lng,min_spend,website,amenities,known_for,entry_pricing_women,entry_pricing_men,tables_standard,tables_luxury,tables_vip
Gallery-Club,Gallery Club,Where art meets nightlife. A distinguished space offering cultural sophistication alongside premium hospitality.,Where art meets nightlife. A distinguished space offering cultural sophistication alongside premium hospitality.,Alexandra M.: A standout Knightsbridge evening with impeccable table service.,LONDON • KNIGHTSBRIDGE,2 Kensington High Street London GB W8 4RE,Wed-Sat,Thu|Fri|Sat,TRUE,Friday,club,51.502589,-0.18796,£2500 / Table,https://www.galleryclublondon.com/,,DJs; Premium dancefloor tables; Big-room energy,Free or £10,£30–£40,Cubanista from £500,Main Room from £1000,VIP from £2000
Paloma-Chelsea,Paloma Chelsea,A refined venue where sophistication meets contemporary style hosting London's most exclusive gatherings.,"A refined venue where sophistication meets contemporary style, hosting London's most exclusive gatherings.",Jordan K.: Elegant crowd and flawless hospitality.,LONDON • SOUTH KENSINGTON,South Kensington London SW7,Thu-Sat,Fri|Sat,TRUE,Saturday,club,51.492362,-0.178002,£2200 / Table,https://palomachelsea.com/about,,Chic Chelsea nights; Stylish crowd; Two-room format,Free or £10 early; £20 standard,£20–£30,Cubanista from £500,Main Room from £1000,VIP from £1500–£2000
Maddox-Club,Maddox Club,An exclusive private members' establishment known for its sophisticated ambiance and discerning clientele.,An exclusive private members' establishment known for its sophisticated ambiance and discerning clientele.,T. H.: The Mayfair room we return to for closing deals.,LONDON • MAYFAIR,3-5 Mill St London W1S 2AU England,Thu-Sat,Fri|Sat,TRUE,Thursday,club,51.512579,-0.142251,£2800 / Table,https://www.maddoxclub.com/,,Exclusive Mayfair crowd; Premium table service,Free or £20,£40,Green Room from £1000,Main Floor from £1000,VIP from £2000
The-Rex-Rooms,The Rex Rooms,Chelsea's most exclusive private members' club known for discretion and exceptional service.,"Chelsea's most exclusive private members' club, known for discretion and exceptional service.",Oliver S.: The Chelsea room our principals ask for by name.,LONDON • CHELSEA,Chelsea London SW3,Mon|Wed|Thu|Fri|Sat,Thu|Fri|Sat,TRUE,Monday,club,51.48793,-0.167239,£2400 / Table,https://www.therexrooms.com/,,Scandi Fridays; Celebrity Mondays,Free or £10 late entry,£20–£30,Standard from £1000,King's Room from £1000+,
Selene-Club,Selene Club,An intimate members-only club offering exceptional service and curated experiences in an elegant setting.,An intimate members-only club offering exceptional service and curated experiences in an elegant setting.,Elena V.: Quiet luxury—the room feels bespoke.,LONDON • MAYFAIR,Mayfair London W1,Thu|Fri|Sat|Sun,Fri|Sat|Sun,TRUE,Sunday,club,51.516144,-0.138567,£2400 / Table,https://selene-club.com/,,Exclusive Sundays; Greek-led party crowd,Free or £10 or £20 late,£40–£50,Standard from £1000–£1500,,VIP from £2000
Cirque-Le-Soir,Cirque Le Soir,An avant-garde venue combining theatrical spectacle with world-class entertainment and premium service.,An avant-garde venue combining theatrical spectacle with world-class entertainment and premium service.,Leo P.: Pure theatre—handled with discretion.,LONDON • MAYFAIR,15-21 Ganton Street Soho London GB W1F 9BN,Mon|Wed|Fri|Sat,Mon|Wed,TRUE,Wednesday,club,51.512875,-0.139184,£1000-2500 / Normal Table - Best Table,https://www.cirquelesoir.com/,,Theatrical spectacle; Show energy; Mondays and Wednesdays,Guestlist: Free or £10; varies by night,Guestlist: Free or £10; varies by night,From £1000 min spend,£1500,VIP from £2000
Tape-London,Tape London,A sophisticated establishment offering refined experiences for the most discerning patrons.,A sophisticated establishment offering refined experiences for the most discerning patrons.,Marcus D.: Music-forward without losing polish.,LONDON • MAYFAIR,Mayfair London W1,Tue|Fri|Sat|Sun,Fri|Sat|Sun,TRUE,Tuesday,club,51.514324,-0.14473,£2600 / Table,https://www.tapelondon.com/,,Celebrity nights; High-profile music-led evenings,Guestlist: Free or £10; varies by night,Guestlist: Free or £10; varies by night,From £1000 min spend,£1500,VIP from £2000
Dear-Darling,Dear Darling,An exclusive private members' club renowned for its elegance and exceptional hospitality.,An exclusive private members' club renowned for its elegance and exceptional hospitality.,Amelia C.: Effortlessly chic—from door to car.,LONDON • MAYFAIR,91 Jermyn St London SW1Y 6JB England,Thu|Fri|Sat|Sun,Sun,FALSE,,club,51.5082,-0.13711,£2500 / Table,https://dear-darling.co.uk/,,Exclusive Sundays; Elegant members' nights; Strong Sunday scene,Guestlist: Free or £10,Guestlist: Free or £10; ask concierge on the night,From £1000 min spend,£1500,VIP from £2000
Tabu-London,Tabu London,A distinctive Mayfair venue offering an immersive Tokyo-inspired nightlife experience combining underground energy with refined sophistication.,"A distinctive Mayfair venue offering an immersive Tokyo-inspired nightlife experience, combining underground energy with refined sophistication.",James L.: Tokyo energy in W1—perfectly controlled.,LONDON • MAYFAIR,Mayfair London W1,Wed-Sat,Thu|Fri|Sat,FALSE,,club,51.507697,-0.141327,£2000+ / Table,https://www.tabulondon.com/,,Japanese-inspired luxury; Late-night Mayfair crowd,Free or £10 or £20,£30–£40,Standard from £1000–£1500,—,VIP from £2000+
The-London-Reign,The London Reign,A vibrant Mayfair establishment known for theatrical performances dynamic atmosphere and world-class entertainment.,"A vibrant Mayfair establishment known for its theatrical performances, dynamic atmosphere, and world-class entertainment.",Priya N.: Performance-led nights without feeling public.,LONDON • MAYFAIR,Mayfair London W1,Tue|Thu|Fri|Sat,Fri|Sat,FALSE,,club,51.509513,-0.134958,£2800 / Table,https://www.thelondonreign.com/,,Luxury show club; Performances and champagne shows,Free or £10,£30–£40,Standard from £1000,,VIP from £2000
